Date,ABEV3,BBAS3,BBDC4,GGBR4,ITUB4,PETR4,RENT3,SUZB3,VALE3,WEGE3,^BVSP
2024-03-25,10.195046424865723,24.393577575683594,11.69974422454834,16.62950897216797,25.207670211791992,26.819475173950195,47.984779357910156,58.40815734863281,51.385257720947266,36.639076232910156,126931.0
2024-03-26,10.345096588134766,24.525127410888672,11.867603302001953,16.583250045776367,25.70853042602539,26.57033348083496,49.29179000854492,59.68779373168945,50.73470687866211,36.39507293701172,126863.0
2024-03-27,10.378440856933594,24.542667388916016,12.05224609375,16.937889099121094,25.850568771362305,26.782835006713867,49.28265380859375,60.47452926635742,51.19938659667969,36.17920684814453,127691.0
2024-03-28,10.411786079406738,24.827686309814453,11.968320846557617,17.115209579467773,25.895423889160156,27.376386642456055,49.97728729248047,60.64514923095703,51.39371109008789,35.85073471069336,128106.0
2024-04-01,10.278407096862793,24.59090232849121,11.859209060668945,17.192302703857422,25.011096954345703,27.588886260986328,48.12187194824219,61.50771713256836,51.723209381103516,35.653656005859375,126990.0
2024-04-02,10.228392601013184,24.63036346435547,11.925580978393555,17.323366165161133,25.041011810302734,28.299678802490234,48.28091049194336,61.82999801635742,52.33151626586914,35.82258224487305,127549.0
2024-04-03,10.378440856933594,24.72683334350586,12.160902976989746,17.477558135986328,24.85403060913086,28.153118133544922,47.737709045410156,61.23283004760742,51.57958221435547,35.55979919433594,127318.0
2024-04-04,10.395113945007324,24.893461227416992,12.236539840698242,17.785940170288086,24.524934768676758,27.830699920654297,49.173988342285156,60.55036163330078,51.00506591796875,35.75687789916992,127428.0
2024-04-05,10.195046424865723,24.998699188232422,12.202920913696289,17.531526565551758,24.480058670043945,27.91863441467285,48.96223068237305,59.5361328125,50.447452545166016,35.653656005859375,126795.0
2024-04-08,10.14503002166748,25.38896369934082,12.286962509155273,17.84761619567871,24.84654998779297,28.3070068359375,49.6251220703125,59.33707809448242,53.201744079589844,35.85073471069336,128857.0
2024-04-09,10.30341625213623,25.60382843017578,12.362600326538086,17.73197364807129,25.108322143554688,28.38028335571289,50.93250274658203,59.04323959350586,52.84688949584961,36.4138298034668,129890.0
2024-04-10,10.086678504943848,25.257415771484375,12.102068901062012,17.6163272857666,24.577289581298828,29.010469436645508,49.33970642089844,58.54085922241211,52.04426193237305,36.03843688964844,128054.0
2024-04-11,10.170038223266602,25.318805694580078,12.093666076660156,17.63174819946289,24.53241729736328,28.79796028137207,49.05429458618164,58.019527435302734,52.26393127441406,35.88827896118164,127396.0
