Date,PETR4,VALE3,ITUB4,BBDC4,ABEV3
2020-01-02,13.48376178741455,19.278615951538086,23.213653564453125,8.816067695617676,30.14016342163086
2020-01-03,13.294145584106445,19.288372039794922,22.9694881439209,8.744275093078613,29.918258666992188
2020-01-06,13.35735034942627,18.943851470947266,22.627653121948242,8.84765625,29.740732192993164
2020-01-07,13.385440826416016,18.614748001098633,22.102703094482422,8.813194274902344,29.95708465576172
2020-01-08,13.322235107421875,18.326772689819336,21.74257469177246,8.75863265991211,29.96263885498047
2020-01-09,13.216897010803223,18.033674240112305,21.309179306030273,8.729914665222168,29.568754196166992
2020-01-10,13.266053199768066,17.704570770263672,21.11996078491211,8.692584037780762,29.60205078125
2020-01-13,13.4907808303833,17.894845962524414,21.400747299194336,8.70981216430664,30.67827606201172
2020-01-14,13.413532257080078,17.874269485473633,21.400747299194336,8.615049362182617,30.86689567565918
2020-01-15,13.174757957458496,17.560588836669922,21.13827133178711,8.485822677612305,30.767040252685547
2020-01-16,13.132621765136719,17.81256103515625,21.180999755859375,8.477208137512207,30.606163024902344
2020-01-17,13.132621765136719,18.229084014892578,21.32749366760254,8.57197380065918,31.621368408203125
2020-01-20,13.202849388122559,17.874269485473633,20.89411163330078,8.615049362182617,31.821081161499023
2020-01-21,13.160710334777832,17.277774810791016,20.448516845703125,8.505924224853516,31.083253860473633
2020-01-22,13.378418922424316,17.33948516845703,20.570592880249023,8.411158561706543,31.23304557800293
2020-01-23,13.097506523132324,17.797134399414062,21.05892562866211,8.51453971862793,30.789228439331055
2020-01-24,13.336280822753906,17.663436889648438,20.900211334228516,8.414031028747559,29.846132278442383
2020-01-27,13.027277946472168,17.257204055786133,20.448516845703125,8.04932689666748,28.020978927612305
2020-01-28,13.202849388122559,17.277774810791016,20.442413330078125,8.27044677734375,28.403759002685547
2020-01-29,12.85170841217041,17.030956268310547,20.125001907348633,8.284804344177246,28.15411376953125
2020-01-30,12.879802703857422,17.200637817382812,20.41798973083496,8.310648918151855,28.5701904296875
2020-01-31,12.535683631896973,16.91267967224121,20.033437728881836,8.169938087463379,27.887832641601562
2020-02-03,12.3530912399292,17.020666122436523,20.091449737548828,8.092402458190918,28.24287986755371
2020-02-04,12.395228385925293,17.030427932739258,20.250232696533203,8.221627235412598,28.997352600097656
2020-02-05,12.114316940307617,17.359712600708008,20.372371673583984,8.15270709991455,29.396785736083984
2020-02-06,11.847451210021973,17.159067153930664,20.32352066040039,8.379570960998535,29.557661056518555
2020-02-07,11.882563591003418,17.35456657409668,20.586111068725586,8.307777404785156,28.903039932250977
2020-02-10,11.74913215637207,17.539798736572266,20.93419075012207,8.365209579467773,27.84345054626465
2020-02-11,11.798290252685547,17.69414710998535,21.416641235351562,8.46572208404541,28.875303268432617
2020-02-12,11.692948341369629,17.457475662231445,21.331146240234375,8.652379035949707,29.441160202026367
2020-02-13,11.426081657409668,17.123037338256836,21.001367568969727,8.53464126586914,28.925230026245117
2020-02-14,11.52440071105957,16.737154006958008,20.647178649902344,8.448492050170898,28.292808532714844
2020-02-17,11.657835006713867,16.598230361938477,20.45787239074707,8.43126106262207,29.629777908325195
2020-02-18,11.36287784576416,16.533294677734375,20.543359756469727,8.543256759643555,29.291378021240234
2020-02-19,11.327762603759766,16.770448684692383,20.836483001708984,8.772990226745605,29.296932220458984
2020-02-20,11.355854988098145,16.52814292907715,20.76320457458496,8.592076301574707,28.95852279663086
2020-02-21,11.412035942077637,16.399261474609375,20.566049575805664,8.368083953857422,27.810171127319336
2020-02-26,11.11005687713623,15.517684936523438,19.540266036987305,7.526678085327148,25.15840721130371
2020-02-27,10.183049201965332,15.450660705566406,19.552845001220703,7.265356063842773,24.67021942138672
2020-02-28,10.211138725280762,15.73936939239502,20.138107299804688,7.276844501495361,24.581459045410156
