,1º Média (μ),2º Variância (σ²),3º Assimetria (Skew),4º Curtose (Excess),Volatilidade Diária,Volatilidade Anual (%)
PETR4,1.8433294586339485e-05,0.0003321562092164237,-0.49490293539523483,9.992578393691838,0.018225153201452758,28.931533786257997
VALE3,0.0001576272545551799,0.0005075823741767568,-0.8023491479646917,14.260551354155035,0.022529588859470043,35.76461355761344
ITUB4,-4.081733661798836e-05,0.0005182575389774052,-0.6219159869558577,12.549050190991004,0.022765270456935167,36.138746494905725
BBDC4,0.00034509236128837473,0.0003714068281648814,-0.7174565226837268,10.457805208720028,0.0192719181236555,30.593221585434595
ABEV3,0.0008383041562194658,0.0007262381008640075,-2.323935084302738,30.969079565731032,0.026948805184349223,42.77990198886972
WEGE3,1.913788843040393e-05,0.0008433880717880612,-0.3380360633036161,12.014527121281104,0.029041144464157422,46.10138762451641
RENT3,0.0005828881252104583,0.000491240026193418,0.4068832622685786,10.385404252145685,0.022163935259637852,35.18415646292253
BBAS3,0.0007615846960526729,0.000545015894238067,-0.6808994640916193,11.594318694777822,0.023345575474553352,37.05995215161413
