Date,ABEV3,BBAS3,BBDC4,GGBR4,ITUB4,PETR4,RENT3,SUZB3,VALE3,WEGE3,^BVSP
2024-03-26,0.014610690145660266,0.005378317040287084,0.01424529560401827,-0.0027856135817764874,0.01967453832953235,-0.009332998482085868,0.026873672002042708,0.0216719786810101,-0.012741086337522106,-0.006681920896657489,-0.0005358676850296386
2024-03-27,0.0032180121431688562,0.0007149283494803682,0.015438764369269433,0.02115991845925257,0.005509743454504064,0.00796588677292549,-0.00018536650319388956,0.013094733139892638,0.009117321223282628,-0.005948849264766288,0.006505518830585492
2024-03-28,0.003207781345377741,0.01154628500789939,-0.006987810812541211,0.01041444625696235,0.0017336658058460595,0.021919642964840478,0.013996478662341407,0.0028173799596606843,0.0037882612024465463,-0.009120496485025468,0.003244763340540919
2024-04-01,-0.012893144986156341,-0.009582863447113649,-0.00915852788697726,0.0044942491612498595,-0.03474666472160297,0.007732179466174839,-0.03783185605571235,0.014122996283077236,0.006390792334815236,-0.005512366496600701,-0.008749703012356686
2024-04-02,-0.0048778547364401485,0.00160341850958164,0.0055810532609914575,0.007594469151661854,0.0011953486179654264,0.025437434923765902,0.003299462607945028,0.0052260027176086205,0.011692190065704778,0.00472678914469497,0.004392261293424517
2024-04-03,0.014563218377218735,0.003909055142249643,0.019540376807365985,0.008861430143783924,-0.007495016234645254,-0.005192337888546086,-0.011314623022569876,-0.009705167115394625,-0.014472894383126237,-0.007362719829526786,-0.0018127106550001452
2024-04-04,0.0016052227760611714,0.006716143533047683,0.006200412608475631,0.017490601374736674,-0.013329591281604415,-0.011518391877548257,0.029643159858523765,-0.011208041917612236,-0.011200941143801305,0.00552687574730981,0.0008636053703424347
2024-04-05,-0.019433925064890254,0.0042186233674153676,-0.0027512021271876813,-0.014407488932601563,-0.001831491365595069,0.0031546409653923093,-0.00431559297210621,-0.016892040060355443,-0.01099270863628944,-0.002890945062477984,-0.0049798901607081844
2024-04-08,-0.004918025174761556,0.015490788532288862,0.00686339938126016,0.01786917467326767,0.014860055121785015,0.013814999330635219,0.013448000370328738,-0.003349028810587309,0.05315892838132545,0.0055123664966006515,0.01613165331024497
2024-04-09,0.01549158267737736,0.008427308782012215,0.006137070688551353,-0.006500522088002325,0.010480441273043041,0.0025852906477274707,0.026004081740347157,-0.004964323633757781,-0.0066923240062073,0.015584581281822198,0.007984676059946936
2024-04-10,-0.02125992186084696,-0.013622081836137619,-0.021299390762747006,-0.006543272058916883,-0.021376521902230983,0.021962123865843404,-0.03177211963999485,-0.008545091267856478,-0.015304307723987859,-0.010362581881403623,-0.01423588846381297
2024-04-11,0.00823037513925592,0.002427621181081086,-0.0006945707371489721,0.0008749932850444962,-0.0018274308390399912,-0.007352218822636241,-0.0058014235073765175,-0.008945324881244275,0.0042119350367273494,-0.004175309405831646,-0.005151704484472637
2024-04-12,-0.006578853185549037,-0.01307428705062652,-0.012587478512150991,-0.024790947562522203,-0.010420098740020136,-0.009202573529251998,-0.02720610584972216,-0.00016333262771895356,-0.003724993897848504,-0.006822508347634083,-0.011447101810982662
2024-04-15,-0.004134025064910844,-0.009343523947630852,-0.01488864084271161,0.03436471534453877,-0.017088832412669952,0.009456872356245321,-0.024798666133669173,-0.0024539871842898233,0.005824290975835228,-0.0089925408494294,-0.0048710698033499495
2024-04-16,-0.010828887929944454,-0.011400108649693798,-0.007168441079419299,-0.02944644859356746,-0.00754969334374619,0.0045685962952003185,-0.010134294116463752,0.004901967054343847,-0.00891196972194171,0.029579515818961268,-0.007568421898465382
2024-04-17,-0.0025158114822831385,0.002147394779662001,-0.005048758624570648,0.004006431499227687,0.0006313360969085106,0.007316974310589915,-0.001398879178964463,-0.008840902380961163,0.010845934521287612,-0.014287674674204267,-0.001754104086712878
