Date,PETR4,VALE3,ITUB4,BBDC4,ABEV3,WEGE3,RENT3,BBAS3
2020-01-03,-0.014162375236810453,-0.001674302230655549,0.0005056328416152251,-0.010573316837736975,-0.008176503592981195,-0.014616636279613595,-0.007389728648401729,-0.012851945925267325
2020-01-06,0.004743064966568453,-0.013307150581208358,-0.018023519932419036,-0.014993568559144074,0.011753058911003809,-0.011725120640168328,-0.005951200370838189,0.002583649369132532
2020-01-07,0.0021009321343295815,-0.007575628413348371,-0.01752454541095554,-0.023473177935014175,-0.0039023220696395,0.00967774178473637,0.007248476966750147,0.007710951739239914
2020-01-08,-0.004733230144926608,-0.009167349488757734,-0.015590671823205046,-0.016427962431477667,-0.006210144288806585,-0.00492984858453994,0.00018519701650822982,-0.03857210976581705
2020-01-09,-0.00793858079103167,-0.020547231086823138,-0.016122488505495337,-0.020133489954477467,-0.0032839903147112346,0.005339788028048293,-0.01323316159153585,-0.014894493940481666
2020-01-10,0.0037124383395655373,-0.023782764015744324,-0.01841763425050803,-0.008919780300456018,-0.004285780119303974,-0.02006887097980184,0.001125439988522407,0.02020269172663156
2020-01-13,0.016798311957413672,0.011168746146001418,0.010689143792770575,0.013207420500343537,0.0019804108187225842,0.0031297379841948034,0.03571121085531024,0.009367828209405783
2020-01-14,-0.005742554086082607,-0.005369712424477568,-0.0011509437365739479,0.0,-0.010939733641747055,0.004157959525247226,0.006129797995670605,0.01961989419539747
2020-01-15,-0.017961344404344947,-0.018515033755172872,-0.017703700658566145,-0.012340817691395127,-0.0151138597692662,0.00020754220307943246,-0.003240524301154917,0.006549352729822527
2020-01-16,-0.00320344967857199,0.004459150113563776,0.014246433618277909,0.002019427585675265,-0.0010157966572720287,0.019310207665538016,-0.00524247629070149,0.018003757568230555
2020-01-17,0.0,0.013457962980621343,0.023113612443676424,0.006892839347179181,0.011116744680348949,0.006894033634173196,0.032631771107845306,0.02559611141493383
2020-01-20,0.005333323571709992,-0.006405235196801545,-0.019656345403388276,-0.020530003227950438,0.005012911746189374,0.002220227002996747,0.006296011362979459,0.030244973137371196
2020-01-21,-0.0031964781629060042,-0.0293419718599791,-0.033940490274538715,-0.021557586908253212,-0.012747822100015163,-0.008097200706962772,-0.023460087788986075,-0.011668417242216839
2020-01-22,0.016406547992804468,0.007827081568262026,0.0035652979508770163,0.00595254660592984,-0.011203777229512818,0.012723356311301047,0.004807413590662952,0.0369202426883659
2020-01-23,-0.021220723473692638,0.0546935849748374,0.026051175029764184,0.02346206182479116,0.012216146168320995,0.03761425560173192,-0.014311724446208821,0.019096656197414054
2020-01-24,0.018066259564215325,-0.013297454315003298,-0.0075409888858816235,-0.007564673832914881,-0.011874471038640208,-0.006398795331982311,-0.03110945352274147,0.04391454207923439
2020-01-27,-0.023442740049771385,-0.009891153508439287,-0.02326689446177994,-0.021849934597806285,-0.0443121951646555,0.0005832929424203866,-0.06310191029986557,-0.011165332297908928
2020-01-28,0.01338713412935039,0.008118241357812658,0.0011914103670204914,-0.00029806030134437827,0.02709994034650437,0.0279877978682143,0.01356815291627171,0.025067452443215833
2020-01-29,-0.026955843933841275,-0.024959513190110767,-0.014388785449138726,-0.01564881744048241,0.0017345034910882559,0.025199320676506713,-0.008828080843963906,0.009004732651070158
2020-01-30,0.0021836496678247367,0.006851184972620228,0.009914046650114552,0.014453912155749421,0.0031148892220198543,-0.007771972837867911,0.014670332476283245,-0.034072185094285855
2020-01-31,-0.02708113456648126,-0.025626710753258883,-0.01688251390875801,-0.01901359067568617,-0.017076593342737582,-0.0037221903417203354,-0.024173462316738913,-0.03882065907635167
2020-02-03,-0.01467293338717724,0.004932122764267762,0.006364306033745136,0.002891478386376566,-0.009535795271004404,0.015357861256249411,0.012651101529919589,0.03147106953474525
2020-02-04,0.0034052563851478222,-0.010924759152173795,0.0005732506532112948,0.00787147312431813,0.015842730446441605,0.00986663294615192,0.026363146914821074,-0.003694669929243745
2020-02-05,-0.022923619607928138,0.0435953406437365,0.01915108704112595,0.006013463270839082,-0.008418117409649827,0.009410063565823135,0.013680542176586907,0.020759771267938678
2020-02-06,-0.022275295170525525,-0.017008532326058944,-0.011626198442164634,-0.0024014418122509573,0.02744645282721722,-0.030726529766872866,0.005457757765119493,0.0349165944231246
2020-02-07,0.002959404955154472,0.0010084151908330717,0.011330159168536122,0.012838140079393837,-0.008604718209474992,-0.017046401850953526,-0.022396058126271868,-0.04146423914393698
2020-02-10,-0.011292783483062417,-0.009928020363931745,0.010616178031404161,0.01676766775787956,0.006889733271382025,-0.011591694914118095,-0.0373491397148279,0.010407781556436606
2020-02-11,0.004175167809611739,0.044017573845887184,0.00876161639604602,0.022784233001676306,0.011943697791779366,0.033455479903784675,0.03638890176825731,0.03594621514484434
2020-02-12,-0.008968511232458076,0.005829022855735729,-0.013466057855894758,-0.004000246810508025,0.021809222372947308,0.025188418619820314,0.01940722488601055,0.03447459465920032
2020-02-13,-0.023087263864920767,-0.015619579797707426,-0.019343524064887953,-0.015579718106192499,-0.013701212212690236,-0.008325761659481954,-0.01767940715865478,0.022413155565184667
