,AIC,BIC,LogLik
"EGARCH(1,1) t-Student",17746.700222084215,17778.125266561463,-8868.350111042108
"GJR-GARCH(1,1,1)",17764.81280611978,17802.522859492477,-8876.40640305989
"GARCH(1,1) t-Student",17767.28550414893,17798.71054862618,-8878.642752074466
"GARCH(2,2) t-Student",17770.661210482933,17814.656272751083,-8878.330605241466
"GARCH(1,1) Normal",18171.762031512084,18196.902067093884,-9081.881015756042
